ID,文法句型,接續方式,中文意思,例句
g32,～まで,名詞（時間/場所）,到…為止（持續）,"５時（ジ）まで図書館（トショカン）にいます。"
g33,～だけでなく,名詞 / 普通形,不僅…而且…,"英語（エイゴ）だけでなく日本語（ニホンゴ）も話（ハナ）せます。"
g34,～だけ,名詞 / 數量詞,只有…（客觀陳述）,"一人（ヒトリ）だけ来（キ）ました。"
g35,～しか～ない,名詞 / 數量詞,只有…（主觀嫌少）,"千円（センエン）しかありません。"
g36,名詞 + を + 移動動詞,經過場所名詞,經過/通過…,"公園（コウエン）を散歩（サンポ）します。"
g37,～たことがある,動詞た形,曾經做過…（經驗）,"日本（ニホン）へ行（イ）ったことがあります。"
g38,～ことがある,動詞辭書形 / ない形,有時會…（偶爾發生）,"朝（アサ）ご飯（ハン）を食（タ）べないことがあります。"
g39,～はずだ,普通形（な形+な/名+の）,理應… / 應該…,"彼（カレ）はもう知（シ）っているはずです。"
g40,～なくてはならない,動詞ない形,必須… / 不做不行,"約束（ヤクソク）は守（マモ）らなくてはならない。"
g41,～なければならない,動詞ない形,必須…,"薬（クスリ）を飲（ノ）まなければならない。"
g42,～なくてもいい,動詞ない形,不必…也可以,"明日（アシタ）は来（コ）なくてもいいです。"
g43,～たまま,動詞た形 / 名詞の,保持著…狀態,"靴（クツ）を履（ハ）いたまま入（ハイ）らないでください。"
g44,～てくれる,動詞て形,為我（方）做…,"友（トモ）だちが手伝（テツダ）ってくれました。"
g45,～てあげる,動詞て形,為他人做…,"妹（イモウト）にプレゼントを買（カ）ってあげました。"
g46,～てもらう,動詞て形,請他人為自己做…,"先生（センセイ）に見（ミ）てもらいました。"
g47,～てくださる,動詞て形,長輩為我做…（尊他）,"先生（センセイ）が教（オシ）えてくださいました。"
g48,～ていただく,動詞て形,承蒙長輩為我做…（自謙）,"先生（センセイ）に推薦状（スイセンジョウ）を書（カ）いていただきました。"
g49,～でも,名詞,舉例：…之類的,"お茶（チャ）でも飲（ノ）みませんか。"
g50,～てしまう（ちゃう）,動詞て形,完成 / 遺憾後悔,"財布（サイフ）を落（オ）としちゃいました。"
g51,お/ご～申し上げる,お+動詞ます形 / ご+漢語名詞,向您致以…（自謙）,"心（ココロ）からお礼（レイ）を申（モウ）し上（ア）げます。"
g52,お/ご～になる,お+動詞ます形 / ご+漢語名詞,長輩做…（尊敬語）,"先生（センセイ）はお帰（カエ）りになりました。"
g53,お/ご～する,お+動詞ます形 / ご+漢語名詞,我為長輩做…（自謙語）,"荷物（ニモツ）をお持（モ）ちします。"
g54,～すぎる,動詞ます形 / い形・な形語幹,太過於…,"食（タ）べすぎました。"
g55,～そうだ（樣態）,動詞ます形 / い形・な形語幹,看起來快要…,"雨（アメ）が降（フ）りそうです。"
g56,～そうだ（傳聞）,小句普通形,聽說…,"明日（アシタ）は雨（アメ）だそうです。"
g57,～らしい,普通形（な形・名詞直接接續）,好像… / 據說…,"彼（カレ）は会社（カイシャ）を辞（ヤ）めるらしいです。"
g58,～かもしれない,普通形（な形・名詞直接接續）,也許… / 可能…,"明日（アシタ）は雪（ユキ）が降（フ）るかもしれない。"
g59,～つもりだ,動詞辭書形 / ない形,打算…,"来年（ライネン）留学（リュウガク）するつもりです。"
g60,～予定だ,名詞の / 動詞辭書形,預定…,"明日（アシタ）出張（シュッチョウ）する予定（ヨテイ）です。"
g61,～てみる,動詞て形,嘗試做做看…,"日本（ニホン）の酒（サケ）を飲（ノ）んでみます。"
g62,～たばかり,動詞た形,剛剛才做完…,"日本（ニホン）に来（キ）たばかりです。"
g63,～ところだ,動詞辭書形/ている/た形,正要 / 正在 / 剛做完,"今（イマ）から出（デ）かけるところです。"
g64,～がる,形容詞語幹,感到…（第三人稱情感）,"寒（サム）がっています。"
g65,～てはいけない,動詞て形,不可以…（禁止）,"ここに車（クルマ）を止（ト）めてはいけません。"
g66,～てもいい,動詞て形,可以…（許可）,"写真（シャシン）を撮（ト）ってもいいですか。"
g67,～てほしい,動詞て形,希望對方做…,"早（ハヤ）く来（キ）てほしいです。"
g68,～ないで,動詞ない形,不去做A而做B,"砂糖（サトウ）を入（イ）れないで飲（ノ）みます。"
g69,～ずに,動詞未然形（する→せずに）,不…（書面語）,"諦（アキラ）めずに頑張（ガンバ）ります。"
g70,～かどうか,普通形（な形・名詞直接接續）,是否…,"行（イ）くかどうか決（キ）めていません。"
g71,疑問詞 + か,疑問詞直接接續,某…（不確定）,"何（ナニ）か飲（ノ）み物（モノ）はありますか。"
g72,～し、～し,普通形,又…而且…（列舉原因）,"この店（ミセ）は安（やす）いし、おいしいです。"
g73,～たり～たりする,動詞た形,有時…有時… / 列舉動作,"本（ホン）を読（ヨ）んだり音楽（オンガク）を聞（キ）いたりします。"
g74,～のだ / んだ,普通形（な形・名+な）,說明理由 / 強調口吻,"お腹（ナカ）が痛（イタ）いんです。"
g75,～と思う,普通形,我認為… / 打算…,"買（カ）おうと思（オモ）います。"
g76,～ということ,普通形,所謂的… / 據說…,"合格（ゴウカク）したということです。"
g77,～方（かた）,動詞ます形,做…的方法,"使（ツカ）い方（カタ）を教（オシ）えてください。"
g78,～てすみません,動詞て形,抱歉做了…,"遅（オク）れてすみません。"
g79,～中（ちゅう/じゅう）,名詞,正在… / 全體…,"今（イマ）は会議中（カイギチュウ）です。"
g80,～やすいように,動詞ます形 + やすいように,為了便於…,"切（キ）りやすいように包丁（ホウチョウ）を研（ト）ぎます。"
