ID,漢字,假名,詞性,中文意思,例句
v43,町,まち,名詞,城鎮、街道,"静（シズ）かな町（マチ）です。"
v44,下町,したまち,名詞,平民區、老街,"下町（シタマチ）の風情（フゼイ）を味（アジ）わいます。"
v45,家族,かぞく,名詞,家人,"家族（カゾク）と暮（ク）らします。"
v46,実家,じっか,名詞,老家,"実家（ジッカ）へ帰（カエ）ります。"
v47,作家,さっか,名詞,作家,"有名（ユウメイ）な作家（サッカ）の本（ホン）です。"
v48,驚く,おどろく,動詞 (第一類),吃驚、驚訝,"ニュースに驚（オドロ）きました。"
v49,間に合う,まにあう,動詞 (第一類),趕得上,"電車（デンシャ）に間（マ）に合（ア）います。"
v50,疲れる,つかれる,動詞 (第二類),疲勞、勞累,"仕事（シゴト）で疲（ツカ）れました。"
v51,行う,おこなう,動詞 (第一類),舉行、舉辦,"会議（カイギ）を行（オコナ）います。"
v52,すっかり,すっかり,副詞,完全地,"すっかり忘（ワス）れていました。"
v53,ゆっくり,ゆっくり,副詞,悠閒地、慢慢地,"ゆっくり休（ヤス）んでください。"
v54,しっかり,しっかり,副詞 / する動詞,扎實地、振作,"しっかり勉強（ベンキョウ）しなさい。"
v55,はっきり,はっきり,副詞 / する動詞,清楚地,"はっきり言（イ）ってください。"
v56,留守,るす,名詞 / する動詞,不在家,"留守（ルス）を守（マモ）ります。"
v57,特急,とっきゅう,名詞,特快列車,"特急（トッキュウ）で行（イ）きます。"
v58,特別,とくべつ,な形容詞 / 名詞,特別的,"特別（トクベツ）な料理（リョウリ）です。"
v59,特殊,とくしゅ,な形容詞 / 名詞,特殊的,"特殊（トクシュ）な能力（ノウリョク）を持（モ）ちます。"
v60,特徴,とくちょう,名詞,特徵,"大（オオ）きな特徴（トクチョウ）があります。"
v61,急行,きゅうこう,名詞 / する動詞,快車,"急行（キュウコウ）電車（デンシャ）に乗（ノ）ります。"
v62,急ぐ,いそぐ,動詞 (第一類),急忙、加快,"時間（ジカン）がないので急（イソ）ぎます。"
v63,経済,けいざい,名詞,經濟,"世界（セカイ）の経済（ケイザイ）を学（マナ）びます。"
v64,経過,けいか,名詞 / する動詞,經過、過程,"時間（ジカン）の経過（ケイカ）を待（マ）ちます。"
v65,救済,きゅうさい,名詞 / する動詞,救濟,"貧（マズ）しい人（ヒト）を救済（キュウサイ）します。"
v66,済む,すむ,動詞 (第一類),事情完畢、解決,"用事（ヨウジ）が済（ス）みました。"
v67,気分,きぶん,名詞,心情、身體感覺,"気分（キブン）がいいです。"
v68,嫌い,きらい,な形容詞 / 名詞,討厭、不喜歡,"魚（サカナ）が嫌（キラ）いです。"
v69,元気,げんき,な形容詞 / 名詞,有精神、健康,"お元気（ゲンキ）ですか。"
v70,病気,びょうき,名詞,生病,"病気（ビョウキ）が治（ナオ）りました。"
v71,事務所,じむしょ,名詞,事務所、辦公室,"事務所（ジムショ）で働（ハタラ）きます。"
v72,火事,かじ,名詞,火災,"火事（カジ）に気（キ）をつけてください。"
v73,義務,ぎむ,名詞,義務,"国民（コクミン）の義務（ギム）です。"
v74,勤務,きんむ,名詞 / する動詞,上班、任職,"会社（カイシャ）に勤務（キンム）します。"
v75,任務,にんむ,名詞,任務,"任務（ニンム）を果（ハ）たします。"
v76,名所,めいしょ,名詞,名勝,"観光（カンコウ）の名所（メイショ）を巡（メグ）ります。"
v77,住所,じゅうしょ,名詞,住址,"住所（ジュウショ）を教（オシ）えてください。"
v78,仕事,しごと,名詞 / する動詞,工作,"仕事（シゴト）が始（ハジ）まります。"
v79,事情,じじょう,名詞,緣由、情況,"特別（トクベツ）な事情（ジジョウ）があります。"
v80,務める,つとめる,動詞 (第二類),擔任職務,"司会（シカイ）を務（ツト）めます。"
v81,場所,ばしょ,名詞,地點、場所,"集合（シュウゴウ）の場所（バショ）を決（キ）めます。"
v82,運動会,うんどうかい,名詞,運動會,"運動会（ウンドウカイ）に参加（サンカ）します。"
v83,場合,ばあい,名詞,場合、狀況,"事故（ジコ）の場合（バアイ）は警察（ケイサツ）へ。"
v84,運動場,うんどうじょう,名詞,運動場、操場,"運動場（ウンドウジョウ）を走（ハシ）ります。"
v85,会場,かいじょう,名詞,會場,"試験（シケン）の会場（カイジョウ）へ行（イ）きます。"
v86,試合,しあい,名詞,競賽、比賽,"サッカーの試合（シアイ）を見（ミ）ます。"
v87,具合,ぐあい,名詞,狀態、體調,"体（カラダ）の具合（グアイ）はどうですか。"
v88,都合,つごう,名詞,時間狀況、方便與否,"都合（ツゴウ）がいい日（ヒ）を教（オシ）えてください。"
v89,合格,ごうかく,名詞 / する動詞,合格、考上,"大学（ダイガク）に合格（ゴウカク）しました。"
v90,盛ん,さかん,な形容詞,興盛的、旺盛的,"スポーツが盛（サカ）んな学校（ガッコウ）です。"
v91,親切,しんせつ,な形容詞 / 名詞,親切、熱心,"親切（シンセツ）な人（ヒト）に出会（デア）いました。"
v92,静か,しずか,な形容詞,安靜的,"夜（ヨル）は静（シズ）かになります。"
v93,丁寧,ていねい,な形容詞 / 名詞,客氣有禮貌、細心,"丁寧（テイネイ）にお辞儀（ジギ）をします。"
v94,見つかる,みつかる,動詞 (第一類),被找到、被發現,"鍵（カギ）が見（ミ）つかりました。"
v95,見かける,みかける,動詞 (第二類),偶爾看見,"駅（エキ）で彼（カレ）を見（ミ）かけました。"
v96,見つめる,みつめる,動詞 (第二類),凝視、注視,"相手（アイテ）の目（メ）を見（ミ）つめます。"
v97,見つける,みつける,動詞 (第二類),尋找並找到,"いい方法（ホウホウ）を見（ミ）つけました。"
v98,港,みなと,名詞,港口,"船（フネ）が港（ミナト）に入（ハイ）ります。"
v99,空港,くうこう,名詞,機場,"空港（クウコウ）まで迎（ムカ）えに行（イ）きます。"
v100,畳,たたみ,名詞,榻榻米,"畳（タタミ）の部屋（ヘヤ）で寝（ネ）ます。"
v101,卵,たまご,名詞,雞蛋,"卵（タマゴ）を割（ワ）ります。"
v102,産卵,さんらん,名詞 / する動詞,產卵,"亀（カメ）が産卵（サンラン）します。"
v103,力,ちから,名詞,力量、力氣,"力（チカラ）を合（ア）わせます。"
v104,協力,きょうりょく,名詞 / する動詞,協力、配合,"ご協力（キョウリョク）をお願（ネガ）いします。"
v105,能力,のうりょく,名詞,能力,"自分（ジブン）の能力（ノウリョク）を試（タメ）します。"
v106,努力,どりょく,名詞 / する動詞,努力,"努力（ドリョク）を続（ツヅ）けます。"
v107,番組,ばんぐみ,名詞,廣播或電視節目,"面白（オモシロ）い番組（バングミ）を見（ミ）ます。"
v108,交番,こうばん,名詞,派出所,"交番（コウバン）に届（トド）けます。"
v109,当番,とうばん,名詞,值日生、輪值,"掃除（ソウジ）の当番（トウバン）です。"
v110,組織,そしき,名詞 / する動詞,組織,"新（アタラ）しいチームを組織（ソシキ）します。"
v111,考える,かんがえる,動詞 (第二類),思考、考慮,"将来（ショウライ）のことを考（カンガ）えます。"
v112,探す,さがす,動詞 (第一類),尋找,"仕事（シゴト）を探（サガ）しています。"
v113,訪ねる,たずねる,動詞 (第二類),拜訪,"先生（センセイ）の家（イエ）を訪（タズ）ねます。"
v114,招待,しょうたい,名詞 / する動詞,招待、邀請,"パーティーに招待（ショウタイ）されました。"
v115,自己紹介,じこしょうかい,名詞 / する動詞,自我介紹,"簡単（カンタン）に自己紹介（ジコショウカイ）をします。"
v116,質問,しつもん,名詞 / する動詞,提問、問題,"質問（シツモン）があります。"
v117,紹介,しょうかい,名詞 / する動詞,介紹,"友（トモ）だちを紹介（ショウカイ）します。"
v118,浅い,あさい,い形容詞,淺的,"この川（カワ）は浅（アサ）いです。"
v119,赤い,あかい,い形容詞,紅色的,"赤（アカ）い花（ハナ）が咲（サ）きました。"
v120,青い,あおい,い形容詞,藍色的、青綠的,"青（アオ）い空（ソラ）が見（ミ）えます。"
v121,淡い,あわい,い形容詞,微薄的、淡的,"淡（アワ）い期待（キタイ）を抱（イダ）きます。"
v122,真っ赤,まっか,な形容詞 / 名詞,通紅的,"夕日（ユウヒ）で空（ソラ）が真（マ）っ赤（カ）です。"
v123,青春,せいしゅん,名詞,青春時期,"青春（セイシュン）時代（ジダイ）を過（ス）ごします。"
v124,海岸,かいがん,名詞,海岸、海邊,"海岸（カイガン）を走（ハシ）ります。"
v125,海外,かいがい,名詞,海外、外國,"海外（カイガイ）旅行（リョコウ）に行（イ）きます。"
v126,海,うみ,名詞,大海,"海（ウミ）で泳（オヨ）ぎます。"
v127,岸,きし,名詞,河岸、岸邊,"向（ム）こうの岸（キシ）へ渡（ワタ）ります。"
v128,長期,ちょうき,名詞,長期的,"長期（チョウキ）の滞在（タイザイ）です。"
v129,身長,しんちょう,名詞,身高,"身長（シンチョウ）を測（ハカ）ります。"
v130,沿岸,えんがん,名詞,沿岸地帶,"沿岸（エンガン）部（ブ）に避難（ヒナン）します。"
v131,長い,ながい,い形容詞,長度/時間長的,"長（ナガ）い話（ハナシ）を聞（キ）きます。"
v132,押し入れ,おしいれ,名詞,壁櫥,"布団（フトン）を押（オ）し入（イ）れにしまいます。"
v133,引き出し,ひきだし,名詞,抽屜,"引（ヒ）き出（ダ）しを開（ア）けます。"
v134,案内,あんない,名詞 / する動詞,引路、導覽,"街（マチ）を案内（アンナイ）します。"
v135,案外,あんがい,副詞 / な形容詞,出乎意料,"案外（アンガイ）難（ムズカ）しいです。"
v136,提案,ていあん,名詞 / する動詞,提出建議,"新（アタラ）しい計画（ケイカク）を提案（テイアン）します。"
v137,内容,ないよう,名詞,內容,"話（ハナシ）の内容（ナイヨウ）を理解（リカイ）します。"
v138,国内,こくない,名詞,本國內部,"国内（コクナイ）のニュースです。"
v139,内側,うちがわ,名詞,內部、內側,"ドアの内側（ウチガワ）に立（タ）ちます。"
v140,旅館,りょかん,名詞,日式旅館,"温泉（オンセン）旅館（リョカン）に泊（ト）まります。"
v141,旅行,りょこう,名詞 / する動詞,旅遊、旅行,"家族（カゾク）旅行（リョコウ）に行（イ）きます。"
v142,旅費,りょひ,名詞,差旅費、旅行花費,"旅費（リョヒ）を節約（セツヤク）します。"
v143,図書館,としょかん,名詞,圖書館,"図書館（トショカン）で勉強（ベンキョウ）します。"
v144,映画館,えいがかん,名詞,電影院,"映画館（エイガカン）で映画（エイガ）を見（ミ）ます。"
v145,博物館,はくぶつかん,名詞,博物館,"歴史（レキシ）博物館（ハクブツカン）へ行（イ）きます。"
v146,出席,しゅっせき,名詞 / する動詞,出席、參加,"式（シキ）に出席（シュッセキ）します。"
v147,出身,しゅっしん,名詞,籍貫、出身地,"台湾（タイワン）の出身（シュッシン）です。"
v148,外出,がいしゅつ,名詞 / する動詞,出門、外出,"午後（ゴゴ）から外出（ガイシュツ）します。"
v149,開発,かいはつ,名詞 / する動詞,研發、開發,"新（アタラ）しいアプリを開発（カイハツ）します。"
v150,発展,はってん,名詞 / する動詞,發展、壯大,"町（マチ）が急速（キュウソク）に発展（ハッテン）します。"
