ID,文法句型,題目內容,原形提示,正解答案,平假名替代正解,中文翻譯,變化規則解析
g23,動詞使役形,お母さんは、宿題が終わるまで弟を部屋の外へ（出る →【】）ませんでした。,出る,出させ,ださせ,媽媽在作業寫完之前，不讓弟弟走出房間去。,使役句構表示許可或強制，二類動詞「出る」轉使役形為「出させる」，否定式接ませんでした填入「出させ」。
g24,動詞使役受身形,昨日の飲み会で、先輩に苦手なお酒をたくさん（飲む →【】）ました。,飲む,飲まされ,のまされ,在昨天的聚會上，被迫喝了前輩灌的很多酒。,五段動詞「飲む」的使役受身形為「飲まされる」（縮約形），接ました填入「飲まされ」。
g25,尊敬語（受身形轉用）,社長は、何時の飛行機で東京へ（出発する →【】）ますか。,出発する,出発され,しゅっぱつされ,社長要搭乘幾點的班機前往東京呢？,受身形轉用為尊他敬語，サ変動詞「出発する」轉受身形為「出発される」，接ます填入「出発され」。
g26,～やすい,このハサミはとても軽くて握りやすく、紙が（切る →【】）やすいです。,切る,切り,きり,這把剪刀非常輕巧又好握，紙張非常好剪。,「～やすい」表示容易進行該動作，前接動詞ます形去ます，五段動詞「切る」轉為「切り」。
g27,～にくい,このペンはインクが薄くて、ノートの文字が（読む →【】）にくいです。,読む,読み,よみ,這支筆的墨水太淡了，筆記本上的字很難閱讀。,「～にくい」表示難以進行該動作，前接動詞ます形去ます，五段動詞「読む」轉為「読み」。
g28,～がたい,あんなに真面目だった彼が会社を辞めるなんて、（信じる →【】）がたい事実です。,信じる,信じ,しんじ,那麼認真的他竟然會辭職，真是令人難以置信的事實。,「～がたい」表示心理感情上難以做到，前接動詞ます形去ます，二類動詞「信じる」轉為「信じ」。
g29,～にする,みんなで相談した結果、次の旅行先は（北海道 →【】）に決めました。,北海道,北海道,ほっかいどう,大家商量之後，決定將下一個旅遊地點定在北海道。,「名詞＋にする」表示意志決定與選擇，名詞直接接續助詞「に」。
g30,～になる,秋が深まってくると、朝晩の風が急に（涼しい →【】）なりました。,涼しい,涼しく,すずしく,隨著秋意漸濃，早晚的微風突然變得十分涼爽。,「い形容詞＋になる」表示自然狀態轉變，詞尾「い」轉為「く」接續なりました，填入「涼しく」。
g31,～までに,レポートは、明日の授業が（始まる →【】）までに必ず提出してください。,始まる,始まる,はじまる,報告請務必在明天的課程開始之前繳交。,「～までに」表示完成期限，前接動詞辭書形，五段動詞填入「始まる」。
g32,～まで,外はどしゃぶりの雨ですから、雨が（止む →【】）までカフェで待ちましょう。,止む,止む,やむ,外面下著傾盆大雨，在雨停之前先在咖啡廳等待吧。,「～まで」表示狀態持續進行的終點，前接動詞辭書形，五段動詞填入「止む」。
g33,～だけでなく,この空気清浄機は、（静かだ →【】）だけでなく、電気代もあまりかかりません。,静かだ,静かな,しずかな,這台空氣清淨機不僅運轉安靜，而且也不怎麼耗電。,「～だけでなく」表示不僅而且，な形容詞接續需加上「な」，故填入「静かな」。
g34,～だけ,食べ放題ですから、自分が（食べる →【】）だけお皿に取りましょう。,食べる,食べる,たべる,因為是吃到飽，只拿自己吃得下的量到盤子裡吧。,「動詞辭書形＋だけ」表示限定需要的程度或範圍，二類動詞填入「食べる」。
g35,～しか～ない,朝寝坊してしまったので、パンを一口しか（食べる →【】）で家を出ました。,食べる,食べない,たべない,因為早上睡過頭，只咬了一口麵包就出門了。,「～しか＋否定」表示主觀嫌少，二類動詞轉否定ない形為「食べない」。
g36,名詞 + を + 移動動詞,毎朝、健康のために愛犬と一緒に川沿いの道を（散歩する →【】）のが日課です。,散歩する,散歩する,さんぽする,每天早晨為了健康和愛犬一起沿著河邊小路散步是我的例行公事。,「場所名詞＋を＋移動動詞」表示移動經過的空間，後接名詞化「の」，填入辭書形「散歩する」。
g37,～たことがある,私はまだ一度も、生で歌舞伎を（見る →【】）ことがありません。,見る,見た,みた,我一次也沒有去現場看過歌舞伎表演。,「～たことがある」表示人生經歷，二類動詞「見る」轉た形為「見た」。
g38,～ことがある,普段はあまりお酒を飲みませんが、お祝いの日は少し（飲む →【】）ことがあります。,飲む,飲む,のむ,平常我不太喝酒，但逢慶祝的日子有時也會稍微喝一點。,「動詞辭書形＋ことがある」表示偶爾會發生的狀況，五段動詞填入辭書形「飲む」。
g39,～はずだ,彼は半年間毎日猛勉強していたから、今度の試験には（合格する →【】）はずです。,合格する,合格する,ごうかくする,因為他這半年來每天都拼命用功，所以這次考試理應會考上。,「～はずだ」表示根據事實推斷理應如此，前接動詞辭書形，故填入「合格する」。
g40,～なくてはならない,社会人として、どんなに忙しくても約束の時間は（守る →【】）なくてはなりません。,守る,守ら,まもら,身為社會人士，無論再怎麼忙碌都必須遵守約定的時間。,「～なくてはならない」表示義務必須，五段動詞「守る」轉未然形詞尾變あ段音「守ら」。
g41,～なければならない,熱が下がりませんから、今日は病院へ行って薬を（もらう →【】）なければなりません。,もらう,もらわ,もらわ,因為高燒還沒退，今天必須去醫院拿藥。,「～なければならない」表示義務必須，五段動詞「もらう」轉未然形詞尾變わ段音「もらわ」。
g42,～なくてもいい,明日は日曜日で学校が休みですから、朝早く（起きる →【】）なくてもいいです。,起きる,起き,おき,明天是星期天學校放假，所以不用大清早起床也沒關係。,「～なくてもいい」表示不必進行某動作，二類動詞「起きる」去る接なくてもいい，故填入「起き」。
g43,～たまま,昨夜はとても疲れていて、部屋の電気を（つける →【】）まま眠ってしまいました。,つける,つけた,つけた,昨晚因為太累了，開著房間的電燈就直接睡著了。,「～たまま」表示保持著前述動作後的狀態，二類動詞「つける」轉た形為「つけた」。
g44,～てくれる,重いスーツケースを運んでいたら、親切な駅員さんが（手伝う →【】）くれました。,手伝う,手伝って,てつだって,當我正搬著沉重的行李箱時，親切的站務員主動幫了我。,「～てくれる」表示他人為我方施惠，五段動詞「手伝う」轉て形促音便為「手伝って」。
g45,～てあげる,泣いている妹を元気づけるために、好きなおもちゃを（買う →【】）あげました。,買う,買って,かって,為了鼓勵哭泣的妹妹，我買了她喜歡的玩具給她。,「～てあげる」表示我方為他人提供動作，五段動詞「買う」轉て形促音便為「買って」。
g46,～てもらう,日本語の自然な作文になるように、先生に文章を（直す →【】）もらいました。,直す,直して,なおして,為了讓日語作文更加自然，我請老師幫我修改了文章。,「～てもらう」表示請他人為自己做某事，五段動詞「直す」轉て形為「直して」。
g47,～てくださる,日本に着いたばかりの時、ホストファミリーが親切に街を（案内する →【】）くださいました。,案内する,案内して,あんないして,剛到日本的時候，寄宿家庭非常親切地為我導覽了市區。,「～てくださる」為長輩或尊長為我方施惠，サ変動詞「案内する」轉て形為「案内して」。
g48,～ていただく,奨学金の申請に必要な推薦状を、大学の指導教授に（書く →【】）いただきました。,書く,書いて,かいて,申請獎學金所需的推薦信，我承蒙大學指導教授幫我寫好了。,「～ていただく」為自謙承蒙尊長為我方施惠，五段動詞「書く」轉て形イ音便為「書いて」。
g49,～でも,買い物の途中で少し休憩して、喫茶店で冷たい（ジュース →【】）でも飲みましょう。,ジュース,ジュース,じゅーす,購物途中稍微休息一下，去咖啡廳喝點果汁之類的吧。,「名詞＋でも」表示舉出同類事物作為例子，名詞直接填入「ジュース」。
g50,～てしまう（ちゃう）,うっかり油断して、提出しなければならない大切な書類を（汚す →【】）しまいました。,汚す,汚して,よごして,一時不留神，不小心把必須繳交的重要文件給弄髒了。,「～てしまう」表示不可挽回的失誤遺憾，五段動詞「汚す」轉て形為「汚して」。
g51,お/ご～申し上げる,新しいプロジェクトが無事に完了しましたことを、皆様にご（報告する →【】）申し上げます。,報告する,報告,ほうこく,新專案已順利圓滿完成，在此向各位進行報告。,「ご＋漢語名詞＋申し上げる」為自謙敬語，サ変動詞「報告する」取詞幹名詞填入「報告」。
g52,お/ご～になる,社長は海外出張から先ほど会社にお（戻る →【】）になりました。,戻る,戻り,もどり,社長剛才已經從海外出差回到公司了。,「お＋動詞ます形去ます＋になる」為尊他敬語，五段動詞「戻る」連用形為「戻り」。
g53,お/ご～する,雨が強くなってきましたから、駅の改札まで傘でお（送る →【】）しましょう。,送る,送り,おくり,雨變大了，我撐傘送您到車站剪票口吧。,「お＋動詞ます形去ます＋する」為自謙敬語，五段動詞「送る」連用形為「送り」。
g54,～すぎる,昨日の飲み会がとても楽しくて、お酒を（飲む →【】）すぎて頭が痛いです。,飲む,飲み,のみ,昨天的聚會太開心了，結果喝了太多酒現在頭好痛。,「～すぎる」表示程度過度，前接動詞ます形去ます，五段動詞「飲む」連用形為「飲み」。
g55,～そうだ（樣態）,西の空が急に真っ黒になってきて、今にも大雨が（降る →【】）そうです。,降る,降り,ふり,西邊天空突然變得一片漆黑，看起來隨時都要下大雨了。,「～そうだ（樣態）」表示眼看即將發生的狀態，前接動詞ます形去ます，五段動詞「降る」轉為「降り」。
g56,～そうだ（傳聞）,天気予報によると、明日の朝は今季一番の冷え込みに（なる →【】）そうです。,なる,なる,なる,根據天氣預報，明天早晨據說會是入冬以來最冷的一天。,「～そうだ（傳聞）」表示聽說，前接小句普通形，五段動詞填入辭書形「なる」。
g57,～らしい,隣の席の高橋さんは、来月から海外の支社へ（転勤する →【】）らしいです。,転勤する,転勤する,てんきんする,隔壁座位的常橋先生，聽說下個月好像要調職去海外分公司了。,「～らしい」表示根據外界訊息或跡象推斷，前接動詞普通形，故填入「転勤する」。
g58,～かもしれない,道路がひどく渋滞しているので、待ち合わせの時間に少し（遅れる →【】）かもしれません。,遅れる,遅れる,おくれる,因為路上嚴重塞車，可能會比碰面時間稍微遲到。,「～かもしれない」表示機率推測（說不定），前接動詞普通形，二類動詞填入辭書形「遅れる」。
g59,～つもりだ,来年の夏休みは、友人と一緒に富士山に（登る →【】）つもりです。,登る,登る,のぼる,明年暑假，我打算和朋友一起去爬富士山。,「～つもりだ」表示個人主觀意志打算，前接動詞辭書形，五段動詞填入「登る」。
g60,～予定だ,来週の月曜日に、全社員が参加する新製品の発表会を（行う →【】）予定です。,行う,行う,おこなう,下週一預定舉行全體員工參加的新產品發表會。,「～予定だ」表示預定的既成公務行程，前接動詞辭書形，五段動詞填入「行う」。
g61,～てみる,日本の有名な温泉旅館に泊まって、本場の懐石料理を（食べる →【】）みたいです。,食べる,食べて,たべて,我很想投宿日本知名的溫泉旅館，親自品嚐看看道地的懷石料理。,「～てみる」表示嘗試做做看某事，二類動詞「食べる」轉て形為「食べて」。
g62,～たばかり,このスニーカーは昨日（買う →【】）ばかりなのに、泥水で汚れてしまいました。,買う,買った,かった,這雙球鞋昨天才剛買，卻已經被泥水弄髒了。,「～たばかり」表示動作剛剛完成不久，五段動詞「買う」轉た形促音便為「買った」。
g63,～ところだ,ちょうど今から、家族と一緒に晩ご飯を（食べる →【】）ところです。,食べる,食べる,たべる,正好現在正準備要和家人一起吃晚餐。,「動詞辭書形＋ところだ」表示動作正要開始進行的瞬間，二類動詞填入辭書形「食べる」。
g64,～がる,弟はとても寒がりなので、真冬になると部屋から外へ（出る →【】）たがりません。,出る,出,で,弟弟因為非常怕冷，到了深冬總是不願意走出房間到戶外去。,「動詞ます形去ます＋たがる」表示第三人稱的情感願望，二類動詞「出る」去ます填入「出」。
g65,～てはいけない,美術館の中では、展示されている作品に（触る →【】）はいけません。,触る,触って,さわって,在美術館內，不可以觸摸展示中的作品。,「～てはいけない」表示嚴格禁止規定，五段動詞「触る」轉て形促音便為「触って」。
g66,～てもいい,この重要書類は、鉛筆ではなく黒いボールペンで（書く →【】）もいいですか。,書く,書いて,かいて,這份重要文件，可以用黑色原子筆而非鉛筆書寫嗎？,「～てもいい」表示請求許可，五段動詞「書く」轉て形イ音便為「書いて」，接續「もいい」。
g67,～てほしい,来週の重要な打ち合わせには、山田さんにもぜひ（来る →【】）ほしいです。,来る,来て,きて,下週重要的商談會議，希望山田先生也務必前來。,「～てほしい」表示希望第二/三人稱進行動作，カ変動詞「来る」轉て形為「来て」。
g68,～ないで,明日は大事な試験ですから、夜遅くまで（起きる →【】）で早く寝ましょう。,起きる,起きない,おきない,明天有重要的考試，今晚別熬夜不睡、早點休息吧。,「～ないで」表示不進行某動作而做後項，二類動詞「起きる」轉ない形為「起きない」，接續助詞「で」。
g69,～ずに,どんなに困難な壁にぶつかっても、途中で（諦める →【】）ずに努力を続けました。,諦める,諦め,あきらめ,無論遇到多大的困難阻礙，我中途絕不放棄持續努力。,「～ずに」為書面語否定接續（未然形＋ずに），二類動詞「諦める」詞幹為「諦め」，接續「ずに」。
g70,～かどうか,明日のイベントに（参加する →【】）かどうか、今夜の天気予報を見てから決めます。,参加する,参加する,さんかする,是否參加明天的活動，我看了今晚的天氣預報之後再決定。,「～かどうか」表示是否的間接疑問句，前接動詞辭書形，故填入「参加する」。
g71,疑問詞 + か,喉が渇きましたから、自動販売機で（何 →【】）か冷たい飲み物を買いましょう。,何,何,なに,口渴了，去自動販賣機買點什麼冰涼的飲料喝吧。,「疑問詞＋か（何か）」表示不特定的某事物，名詞填入「何」。
g72,～し、～し,駅前の新しい店は、料理もおいしいし、値段も（安い →【】）し、いつも大人気です。,安い,安い,やすい,車站前的新店料理既美味，價格又便宜，所以總是非常受歡迎。,「～し、～し」表示列舉多重並列理由，前接普通形，い形容詞填入辭書形「安い」。
g73,～たり～たりする,休日は家で部屋を（掃除する →【】）たり、洗濯をしたりして過ごします。,掃除する,掃除し,そうじし,休假日都在家裡打掃房間、洗洗衣服度過。,「動詞ます形去ます＋たり」表示不完全列舉動作，サ変動詞「掃除する」連用形為「掃除し」。
g74,～のだ / んだ,どうして遅刻したのですか。——途中で電車が急に（止まる →【】）んです。,止まる,止まった,とまった,為什麼遲到了呢？——是因為路上電車突然停駛了啦。,「～んだ（のだ）」用於向對方說明原委理由，五段動詞「止まる」過去普通形為「止まった」。
g75,～と思う,健康のために、来月から毎朝ジョギングを（始める →【】）と思います。,始める,始めよう,はじめよう,為了健康，我打算從下個月開始每天早晨慢跑。,「動詞意志形＋と思う」表示說話者個人的意志打算，二類動詞「始める」意志形為「始めよう」。
g76,～ということ,ニュースによると、あの二人は来月に（結婚する →【】）ということです。,結婚する,結婚する,けっこんする,根據新聞報導，據說那兩個人下個月就要結婚了。,「～ということだ」表示轉述傳聞「據說…」，前接小句普通形，故填入「結婚する」。
g77,～方（かた）,初めて使うパソコンなので、電源の（入れる →【】）方を教えてください。,入れる,入れ,いれ,因為是第一次使用的電腦，請教我打開電源的方法。,「動詞ます形去ます＋方」表示做某事的方法，二類動詞「入れる」連用形為「入れ」。
g78,～てすみません,電車が遅延してしまい、約束の時間に（遅れる →【】）すみませんでした。,遅れる,遅れて,おくれた,因為電車誤點，延誤了約定時間真是不好意思。,「～てすみません」表示為自己的過失動作致歉，二類動詞「遅れる」轉て形為「遅れて」。
g79,～中（ちゅう/じゅう）,社長はただいま大切なお客様と（会議 →【】）中ですので、少々お待ちください。,会議,会議,かいぎ,社長現在正在與重要的訪客開會中，請稍候片刻。,「動作性名詞＋中（ちゅう）」表示正處於該狀態中，名詞直接填入「会議」。
g80,～やすいように,小さな子供でも手で（持つ →【】）やすいように、取っ手が丸くなっています。,持つ,持ち,もち,為了讓幼童也能用手輕易握持，把手做成了圓弧狀。,「動詞ます形去ます＋やすいように」表示為了便於進行某動作之目的，五段動詞「持つ」轉為「持ち」。

